iter	name	tg_median	tg_p90	delta	outcome
0	baseline	68.86	69.30	+0.00	BASELINE
1	mtp_n=1	51.51	51.53	-17.35	REGRESSION
2	mtp_n=2	62.46	62.81	-6.40	REGRESSION
3	mtp_n=4	0.00	0.00	-68.86	TIMEOUT
4	mtp_n=5	0.00	0.00	-68.86	TIMEOUT
5	batched=8192	69.75	69.82	+0.89	NEUTRAL
6	batched=2048	67.15	67.24	-1.71	NEUTRAL
7	seqs=1	63.85	63.94	-5.01	REGRESSION
8	gmu=0.88	0.00	0.00	-68.86	TIMEOUT
9	gmu=0.92	66.75	66.81	-2.11	REGRESSION
10	prealloc=8192	66.96	67.01	-1.90	NEUTRAL
11	prealloc=2048	68.12	68.18	-0.74	NEUTRAL
12	mtp_n=4+batched=8192	0.00	0.00	-68.86	TIMEOUT
13	mtp_n=4+seqs=1	0.00	0.00	-68.86	TIMEOUT
