id	median	mean	stddev	min	max	stable	n	axes	flags
baseline	123.64	123.62	0.05	123.54	123.66	True	8	speed,stability	
threads_12	123.57	123.56	0.03	123.51	123.59	True	8	speed	--threads 12
threads_16	77.33	82.84	30.54	34.43	123.62	False	8	speed	--threads 16
threads_20	123.62	123.62	0.01	123.59	123.64	True	8	speed	--threads 20
kv_q8	122.09	122.08	0.01	122.06	122.10	True	8	speed,context,stability	--cache-type-k q8_0 --cache-type-v q8_0
kv_q4	121.97	121.97	0.02	121.93	121.99	True	8	speed,context,stability	--cache-type-k q4_0 --cache-type-v q4_0
ctx_64k	123.58	123.57	0.03	123.51	123.61	True	8	context	--ctx-size 65536
ctx_64k_kv_q8	122.15	122.14	0.03	122.07	122.17	True	8	context	--ctx-size 65536 --cache-type-k q8_0 --cache-type-v q8_0
ctx_64k_kv_q4	121.41	120.70	2.67	114.13	122.02	True	8	context	--ctx-size 65536 --cache-type-k q4_0 --cache-type-v q4_0
ctx_96k_kv_q4	69.50	72.33	22.49	40.32	121.97	False	8	context	--ctx-size 98304 --cache-type-k q4_0 --cache-type-v q4_0
ubatch_1024	123.61	123.61	0.03	123.56	123.64	True	8	speed	--ubatch-size 1024
ubatch_2048	123.59	123.56	0.06	123.44	123.61	True	8	speed	--ubatch-size 2048
flash_attn	FAIL							speed,stability	
combo_speed	FAIL							speed,stability	
combo_ctx64k	122.21	122.20	0.03	122.16	122.24	True	8	context,stability	--ctx-size 65536 --cache-type-k q8_0 --cache-type-v q8_0 --threads 16
combo_all	FAIL							speed,context,stability	
