iter	name	max_model_len	gmu	tg_median	tg_p90	delta	outcome	desc
0	baseline	32768	0.82	80.65	80.68	+0.00	BASELINE	canonical pass2 config
1	40K/0.82	40960	0.82	79.08	79.11	-1.57	MARGINAL	ctx=40960 gmu=0.82
2	48K/0.82	49152	0.82	79.52	79.55	-1.12	MARGINAL	ctx=49152 gmu=0.82
3	64K/0.82	65536	0.82	81.58	81.63	+0.93	MARGINAL	ctx=65536 gmu=0.82
4	80K/0.82	81920	0.82	81.44	81.49	+0.79	MARGINAL	ctx=81920 gmu=0.82
5	96K/0.82	98304	0.82	0.00	0.00	-80.65	TIMEOUT	ctx=98304 gmu=0.82
6	128K/0.82	131072	0.82	0.00	0.00	-80.65	TIMEOUT	ctx=131072 gmu=0.82
7	40K/0.85	40960	0.85	81.14	81.18	+0.49	MARGINAL	ctx=40960 gmu=0.85
8	48K/0.85	49152	0.85	81.03	81.09	+0.38	MARGINAL	ctx=49152 gmu=0.85
9	64K/0.85	65536	0.85	73.32	73.35	-7.33	DEGRADED	ctx=65536 gmu=0.85
10	80K/0.85	81920	0.85	81.05	81.11	+0.40	MARGINAL	ctx=81920 gmu=0.85
11	96K/0.85	98304	0.85	81.07	81.09	+0.42	MARGINAL	ctx=98304 gmu=0.85
12	128K/0.85	131072	0.85	0.00	0.00	-80.65	TIMEOUT	ctx=131072 gmu=0.85
13	64K/0.88	65536	0.88	81.03	81.07	+0.38	MARGINAL	ctx=65536 gmu=0.88
14	80K/0.88	81920	0.88	80.07	80.12	-0.58	MARGINAL	ctx=81920 gmu=0.88
15	96K/0.88	98304	0.88	81.62	81.73	+0.97	MARGINAL	ctx=98304 gmu=0.88
16	128K/0.88	131072	0.88	0.00	0.00	-80.65	TIMEOUT	ctx=131072 gmu=0.88
17	96K/0.90	98304	0.90	74.51	74.54	-6.14	DEGRADED	ctx=98304 gmu=0.9
18	128K/0.90	131072	0.90	80.04	80.14	-0.60	MARGINAL	ctx=131072 gmu=0.9
