timestamp	id	label	flags	env	median_tps	min_tps	max_tps	delta	outcome	runs
2026-05-16 05:48:03	baseline	Genesis baseline (INT4, auto KV, MTP n=3, GMU 0.90)			67.63	67.04	67.82	0.0	NEUTRAL	[67.16274111138529, 67.04082175596905, 67.63211464951102, 67.81526809782235, 67.80977550641104]
2026-05-16 05:50:10	nvfp4_kv	nvfp4 KV cache (vLLM 0.21.0 native Blackwell FP4)	--kv-cache-dtype nvfp4		73.66	72.95	74.0	6.03	WIN	[73.60431860990117, 72.94673414390029, 73.6556497554751, 73.9981316837017, 73.9723516628629]
2026-05-16 05:52:21	fp8_kv	fp8 KV cache (halves KV footprint vs auto, more KV blocks)	--kv-cache-dtype fp8		68.01	67.42	68.19	0.38	NEUTRAL	[67.73307081403755, 67.4237476504725, 68.01232053755574, 68.17551033845439, 68.19274289685804]
2026-05-16 05:54:33	mtp_n2	MTP 2 speculative tokens (higher accept rate)	"--speculative-config '{""method"":""mtp"",""num_speculative_tokens"":2}'"		67.67	67.03	67.84	0.04	NEUTRAL	[67.37398272746955, 67.02577926293678, 67.67197092909738, 67.84087338389409, 67.83082563204124]
2026-05-16 05:56:44	mtp_n4	MTP 4 speculative tokens (more parallelism)	"--speculative-config '{""method"":""mtp"",""num_speculative_tokens"":4}'"		68.39	67.77	68.58	0.76	NEUTRAL	[68.10277289329801, 67.76615547192284, 68.38921046658739, 68.57690042248483, 68.58338535277677]
2026-05-16 05:58:55	mtp_n5	MTP 5 speculative tokens (ceiling test)	"--speculative-config '{""method"":""mtp"",""num_speculative_tokens"":5}'"		68.71	68.13	68.94	1.08	WIN	[68.44385715608843, 68.12761454203016, 68.71425885003997, 68.93667468970476, 68.91279421414364]
2026-05-16 06:00:31	batched_8192	max_num_batched_tokens 8192 (more throughput headroom)	--max-num-batched-tokens 8192	GENESIS_PREALLOC_TOKEN_BUDGET=8192					FAIL	
2026-05-16 06:02:46	nccl_16mb	NCCL_BUFFSIZE 16MB (was +1.06 t/s in pass2)		NCCL_BUFFSIZE=16777216	64.63	63.91	64.74	-3.0	LOSS	[63.90685686960197, 64.38428793148633, 64.62800493168851, 64.73631058520743, 64.7191459406607]
2026-05-16 06:04:57	gmu_092	GMU 0.92 (more KV blocks, slightly more VRAM)	--gpu-memory-utilization 0.92		68.01	67.42	68.19	0.38	NEUTRAL	[67.69441647157812, 67.41580605823923, 68.01239808157655, 68.19163204347124, 68.18621038573272]
2026-05-16 06:07:09	nvfp4_mtp4	nvfp4 KV + MTP n=4 (best-case combo)	"--kv-cache-dtype nvfp4 --speculative-config '{""method"":""mtp"",""num_speculative_tokens"":4}'"		67.67	67.06	67.83	0.04	NEUTRAL	[67.371735881208, 67.05654103833793, 67.67152097588907, 67.82611456368052, 67.8234518891036]
