id	label	wall_med	tg_med	flags
baseline	MTP n_max=1 (current)	34.50	34.78	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off
mtp_n0	no speculative decoding (sanity baseline)	25.86	26.25	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --reasoning off
mtp_n2	MTP n_max=2	37.82	39.30	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 2 --spec-draft-n-min 1 --reasoning off
mtp_n3	MTP n_max=3	35.07	35.13	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 3 --spec-draft-n-min 1 --reasoning off
mtp_n2_min2	MTP n_max=2 n_min=2 (force 2 drafts always)	37.48	37.84	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 2 --spec-draft-n-min 2 --reasoning off
kv_q8	KV cache q8_0 (halves KV VRAM)	34.53	35.45	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off --cache-type-k q8_0 --cache-type-v q8_0
kv_q4	KV cache q4_0 (quarters KV VRAM)	34.67	35.70	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off --cache-type-k q4_0 --cache-type-v q4_0
kv_q8_mtp2	q8 KV + MTP n=2 (combo)	37.02	38.48	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 2 --spec-draft-n-min 1 --reasoning off --cache-type-k q8_0 --cache-type-v q8_0
ctx_16k	ctx-size 16384	33.94	35.58	--n-gpu-layers 999 --ctx-size 16384 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off
ctx_64k	ctx-size 65536	34.42	35.34	--n-gpu-layers 999 --ctx-size 65536 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off
ctx_64k_q8	ctx-size 65536 + q8 KV	35.20	35.56	--n-gpu-layers 999 --ctx-size 65536 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off --cache-type-k q8_0 --cache-type-v q8_0
threads_4	4 CPU threads	26.87	20.94	--n-gpu-layers 999 --ctx-size 32768 --threads 4 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off
threads_16	16 CPU threads	34.73	35.60	--n-gpu-layers 999 --ctx-size 32768 --threads 16 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off
ubatch_256	ubatch-size 256	33.68	34.93	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off --ubatch-size 256
ubatch_1024	ubatch-size 1024	34.74	35.41	--n-gpu-layers 999 --ctx-size 32768 --threads 8 --spec-type draft-mtp --spec-draft-n-max 1 --spec-draft-n-min 1 --reasoning off --ubatch-size 1024
